titulo,categoria,buscador,fecha,url,imagen,colorTexto,colorFondo,premiado,donde-premiado
Caso Gómez': el hilo para no perderse en la causa que sacude la política española,POLÍTICA,Narrativas,2024-07-29,https://www.elcorreo.com/politica/explicacion-caso-begona-gomez-hilo-perderse-causa-sacude-politica-20240729213940-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2024/07/29/foto-caso-be-1200x840.jpg,,#d7d7d7,,
"El recorrido del encierro de San Fermín, tramo a tramo",SOCIEDAD,Narrativas,2024-07-05,https://www.elcorreo.com/sociedad/recorrido-encierro-san-fermin-tramo-tramo-20240705071810-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2024/07/05/fotolead-arriba.png,#c90022,#FFF,si,
¿Qué IVA le pongo? Del aceite a la peluquería pasando por la luz,ECONOMÍA,Narrativas,2024-07-01,https://www.elcorreo.com/economia/iva-pongo-aceite-peluqueria-pasando-luz-20240701000542-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2024/07/01/IVA-fotoleads-1200x840.jpg,,#FFF,,
A dónde va tu voto en las elecciones europeas y qué pasa con la extrema derecha,POLÍTICA,Narrativas,2024-06-08,https://www.elcorreo.com/elecciones/europeas/voto-elecciones-europeas-pasa-extrema-derecha-20240608000644-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2024/06/08/foto-expli-1200x840.jpg,,#FFF,,
"50 años de 'Waterloo', la canción perfecta que catapultó a ABBA",CULTURA,Narrativas,2024-04-06,https://www.elcorreo.com/culturas/musica/analisis-waterloo-cancion-perfecta-abba-20240406174631-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2024/04/06/ABBA-fotolead_1920.jpg,,#fde46f,,
«España tiene que dejar de depender de la lluvia para tener agua»,SOCIEDAD,Narrativas,2024-03-22,https://www.elcorreo.com/antropia/espana-dejar-depender-lluvia-tener-agua-20240322082526-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2024/03/22/diadelagua-1200x840-dentro-kEiC-U2101886677659DnE-1200x840@RC.jpg,,#FFF,,
¿Casa con jardín en los ochenta y un pisito en 2023? Así renta el Gordo...,SOCIEDAD,Narrativas,2023-12-21,https://www.elcorreo.com/loteria/navidad/casa-jardin-ochenta-pisito-2023-renta-gordo-20231221175641-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2023/12/21/fotolead-1200x840.jpg,,,,
¿Quién da diputados a quién? Así quedan los grupos del Congreso?,POLÍTICA,Narrativas,2023-08-31,https://www.elcorreo.com/politica/diputados-quedan-grupos-congreso-20230831000837-ntrc.html,https://s1.ppllstatics.com/rc/www/multimedia/2023/08/31/fl-congreso-1200x1200.jpg,,,,
Eclipse solar en España: comprueba dónde y cómo verlo según dónde vivas,SOCIEDAD,Narrativas,2025-03-28,https://www.elcorreo.com/sociedad/donde-ver-eclipse-solar-espana-comprueba-20250328103002-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2025/03/28/foto1200-840--366x256.jpg,,#E9FCFC,,
Radiografía de la música en directo: los datos que explican por qué las entradas son más caras que nunca,CULTURA,"Grandes narrativas,Narrativas",2025-05-12,https://www.elcorreo.com/culturas/musica/radiografia-musica-directo-datos-explican-entradas-caras-20250512000355-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2025/05/12/fotolead-952.jpg,,,,
Reconstrucción visual: así se inició el incendio de las discotecas en Murcia,SOCIEDAD,"Grandes narrativas,Narrativas",2024-09-29,https://www.elcorreo.com/sociedad/reconstruccion-visual-inicio-incendio-discotecas-murcia-atalayas-20240929154235-ntrc.html,,,,,
Así nos afecta a todos el calentamiento del mar Mediterráneo,SOCIEDAD,"Grandes narrativas,Narrativas",2023-11-28,https://www.laverdad.es/antropia/asi-afecta-calentamiento-mar-mediterraneo-20231128175901-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2023/11/28/fotobueno-1200--268x268.gif,#f2f2f2,#1a5192,si,
Nadie sabe lo que es vivir en la calle... Ellos sí y te lo cuentan,SOCIEDAD,"Grandes narrativas,Narrativas",2023-11-23,https://www.ideal.es/sociedad/historias-personas-sin-techo-sabe-vivir-calle-cuentan-20231122100712-ntrc.html,https://s1.ppllstatics.com/rc/www/multimedia/2023/11/22/1200x840-fuera-sintecho--366x256.gif,,,si,"INMA 2024, SND"
"Y tú, ¿has sufrido más el calor este verano por el día o por la noche?",SOCIEDAD,"Grandes narrativas,Narrativas",2023-09-09,https://www.elcorreo.com/sociedad/abanico-dia-ventilador-noche-sufriste-verano-20230909001108-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2023/09/08/fotolead-268x268.gif,,,,
Los 50 mejores personajes de las series del siglo XXI,CULTURA,"Grandes narrativas,Narrativas",2023-07-13,https://www.lasprovincias.es/pantallas/series/mejores-personajes-series-siglo-xxi-20230713001447-ntrc.html,https://s1.ppllstatics.com/rc/www/multimedia/2023/07/13/fl-personajes-1200x840-kNND-U200754743459lMF-758x531@RC.jpg,#f2f2f2,#202020,,
Adivina la edad de los selfis más famosos del Prado,CULTURA,"Gamificación,Narrativas",2023-12-12,https://www.elcorreo.com/culturas/arte/adivina-edad-selfis-famosos-prado-20231212104238-ntrc.html,https://s1.ppllstatics.com/rc/www/multimedia/2023/12/12/edades-prado-1200x840-4ok.gif,,,,
Elige un año con 'Cuéntame' y recuerda la historia de España con un Alcántara,TELEVISIÓN,"Gamificación,Narrativas",2023-11-11,https://www.lasprovincias.es/pantallas/series/elige-ano-cuentame-recuerda-historia-espana-alcantara-20231111001132-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2023/11/11/fotolead-1200x1200-kr3H--1200x1200@RC.jpg,,#f0e5d5,,
¿Así que crees que conoces a los Rolling Stones?,CULTURA,"Gamificación,Narrativas",2023-10-31,https://www.elcorreo.com/culturas/musica/crees-conoces-rolling-stones-20231031002112-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2023/10/31/rolling-1200x1200.gif,#f2f2f2,#333333,,
Filtros para feas y comas que derrocan dinastías: la revisión de las cartelas en los museos,CULTURA,"Formato,Narrativas",2025-03-07,https://www.elcorreo.com/culturas/arte/revision-cartelas-mujer-museo-prado-20250307191326-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2025/03/07/foto-366x256.jpg,,,,
"Víctor de Aldama, el centro del universo de la 'trama Ábalos'",NACIONAL,"Formato,Narrativas",2024-10-29,https://www.elcorreo.com/politica/victor-aldama-centro-universo-trama-abalos-20241029111617-ntrc.html,https://s1.ppllstatics.com/rc/www/multimedia/2024/10/29/universo-aldama-cabecera-1200x952.png,#fff,#03034F,,
Los mapas que cuentan la evolución del voto independentista en Cataluña,POLÍTICA,"Formato,Narrativas",2024-05-11,https://www.elcorreo.com/elecciones/catalanas/mapas-cuentan-evolucion-voto-independentista-cataluna-20240511000909-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2024/05/11/fotolead-mapas-1200x840.gif,,#FFF,,
Cómo 'alcaldesa' dejó de ser la mujer del alcalde y qué pasa con 'zorra',SOCIEDAD,"Formato,Narrativas",2024-03-08,https://www.elcorreo.com/sociedad/alcaldesa-dejo-mujer-alcalde-dice-diccionario-20240308000823-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2024/03/08/gif8mfuera.gif,,#FFF,si,
Del aborto a la marihuana: todo lo que los estadounidenses decidirán el 5 de noviembre,INTERNACIONAL,"Datajournalism,Narrativas",2024-11-04,https://www.elcorreo.com/elecciones/eeuu/aborto-marihuana-estadounidenses-decidiran-noviembre-20241104000918-ntrc.html,https://s1.ppllstatics.com/rc/www/multimedia/2024/11/04/identidad_fotolead_usa_pendientes840.jpg,,,,
Todos los discursos de Felipe VI: del «feliz Navidad» a Cataluña,SOCIEDAD,"Datajournalism,Narrativas",2024-06-19,https://www.elcorreo.com/politica/discursos-rey-felipe-decimo-aniversario-20240619191231-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2024/06/19/fotolead-rey-1200x840.jpg,,#FFF,si,
El discurso de Sánchez: un 27% de PP y Vox y otro 40% entre economía y amnistía,POLÍTICA,"Datajournalism,Narrativas",2023-11-15,https://www.elcorreo.com/politica/discurso-sanchez-hablando-pp-vox-economia-amnistia-20231115200128-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2023/11/15/fotolead_investidura_sanchez1200-kOw--1200x1200@RC.jpg,,,,
Radiografía del discurso de Feijóo: un 40% amnistía y un 20% economía,POLÍTICA,"Datajournalism,Narrativas",2023-09-26,https://www.elcorreo.com/politica/radiografia-discurso-feijoo-hablando-amnistia-economia-20230926202914-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2023/09/26/fotolead-discur-1200x1200-kEkB--1200x1200@RC.jpg,,,,
El pueblo donde ocho de cada diez paisanos votan desde el extranjero,POLÍTICA,"Datajournalism,Narrativas",2023-07-21,https://www.elcorreo.com/elecciones/generales/pueblo-ocho-diez-paisanos-votan-extranjero-20230721000831-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2023/07/21/fl-extranjero-1200x840-kIWG--758x531@RC.jpg,,,,
